Método usado: ANTCOLONY OPTIMIZATION

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	30200
2	1.000000000000000e+00	30260
3	1.000000000000000e+00	31180
4	1.000000000000000e+00	33220
5	1.000000000000000e+00	30380
6	1.000000000000000e+00	30860
7	1.000000000000000e+00	31060
8	1.000000000000000e+00	30780
9	1.000000000000000e+00	34840
10	1.000000000000000e+00	30100
11	1.000000000000000e+00	31120
12	1.000000000000000e+00	29420
13	1.000000000000000e+00	30480
14	1.000000000000000e+00	29740
15	1.000000000000000e+00	30320
16	1.000000000000000e+00	30620
17	1.000000000000000e+00	30100
18	1.000000000000000e+00	31560
19	1.000000000000000e+00	30220
20	1.000000000000000e+00	31100
21	1.000000000000000e+00	30560
22	1.000000000000000e+00	30080
23	1.000000000000000e+00	30300
24	1.000000000000000e+00	29620
25	1.000000000000000e+00	32440
26	1.000000000000000e+00	31740
27	1.000000000000000e+00	30020
28	1.000000000000000e+00	31680
29	1.000000000000000e+00	30960
30	1.000000000000000e+00	30620
31	1.000000000000000e+00	30360
32	1.000000000000000e+00	32760
33	1.000000000000000e+00	31820
34	1.000000000000000e+00	30400
35	1.000000000000000e+00	29120
36	1.000000000000000e+00	29820
37	1.000000000000000e+00	31620
38	1.000000000000000e+00	29860
39	1.000000000000000e+00	31600
40	1.000000000000000e+00	29800
41	1.000000000000000e+00	30820
42	1.000000000000000e+00	29300
43	1.000000000000000e+00	30600
44	1.000000000000000e+00	28820
45	1.000000000000000e+00	30560
46	1.000000000000000e+00	30140
47	1.000000000000000e+00	30700
48	1.000000000000000e+00	30100
49	1.000000000000000e+00	30540
50	1.000000000000000e+00	31360
51	1.000000000000000e+00	30600
52	1.000000000000000e+00	31800
53	1.000000000000000e+00	31060
54	1.000000000000000e+00	30540
55	1.000000000000000e+00	30600
56	1.000000000000000e+00	28280
57	1.000000000000000e+00	29660
58	1.000000000000000e+00	29180
59	1.000000000000000e+00	30620
60	1.000000000000000e+00	31180
61	1.000000000000000e+00	31920
62	1.000000000000000e+00	31820
63	1.000000000000000e+00	31600
64	1.000000000000000e+00	29600
65	1.000000000000000e+00	31120
66	1.000000000000000e+00	30120
67	1.000000000000000e+00	30580
68	1.000000000000000e+00	30060
69	1.000000000000000e+00	30480
70	1.000000000000000e+00	31260
71	1.000000000000000e+00	30680
72	1.000000000000000e+00	31960
73	1.000000000000000e+00	30580
74	1.000000000000000e+00	29900
75	1.000000000000000e+00	32700
76	1.000000000000000e+00	31460
77	1.000000000000000e+00	29300
78	1.000000000000000e+00	31900
79	1.000000000000000e+00	31020
80	1.000000000000000e+00	30040
81	1.000000000000000e+00	30380
82	1.000000000000000e+00	30700
83	1.000000000000000e+00	31340
84	1.000000000000000e+00	31900
85	1.000000000000000e+00	30600
86	1.000000000000000e+00	31800
87	1.000000000000000e+00	31860
88	1.000000000000000e+00	32320
89	1.000000000000000e+00	31020
90	1.000000000000000e+00	30620
91	1.000000000000000e+00	32480
92	1.000000000000000e+00	30960
93	1.000000000000000e+00	31200
94	1.000000000000000e+00	30760
95	1.000000000000000e+00	30220
96	1.000000000000000e+00	30260
97	1.000000000000000e+00	31080
98	1.000000000000000e+00	30040
99	1.000000000000000e+00	30480
100	1.000000000000000e+00	31400
101	1.000000000000000e+00	30460
102	1.000000000000000e+00	31080
103	1.000000000000000e+00	31400
104	1.000000000000000e+00	30880
105	1.000000000000000e+00	30360
106	1.000000000000000e+00	30920
107	1.000000000000000e+00	31900
108	1.000000000000000e+00	31260
109	1.000000000000000e+00	31280
110	1.000000000000000e+00	30460
111	1.000000000000000e+00	30040
112	1.000000000000000e+00	29960
113	1.000000000000000e+00	30820
114	1.000000000000000e+00	31020
115	1.000000000000000e+00	31420
116	1.000000000000000e+00	29480
117	1.000000000000000e+00	30540
118	1.000000000000000e+00	31340
119	1.000000000000000e+00	31160
120	1.000000000000000e+00	30920
121	1.000000000000000e+00	29820
122	1.000000000000000e+00	32700
123	1.000000000000000e+00	31660
124	1.000000000000000e+00	31560
125	1.000000000000000e+00	32000
126	1.000000000000000e+00	32520
127	1.000000000000000e+00	29740
128	1.000000000000000e+00	30640
129	1.000000000000000e+00	31420
130	1.000000000000000e+00	29980
131	1.000000000000000e+00	31920
132	1.000000000000000e+00	30200
