Método usado: C-GRASP

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	12558
2	1.000000000000000e+00	12558
3	1.000000000000000e+00	12558
4	1.000000000000000e+00	12558
5	1.000000000000000e+00	12558
6	1.000000000000000e+00	12558
7	1.000000000000000e+00	12558
8	1.000000000000000e+00	12558
9	1.000000000000000e+00	12558
10	1.000000000000000e+00	12558
11	1.000000000000000e+00	12558
12	1.000000000000000e+00	12558
13	1.000000000000000e+00	12558
14	1.000000000000000e+00	12558
15	1.000000000000000e+00	12558
16	1.000000000000000e+00	12558
17	1.000000000000000e+00	12558
18	1.000000000000000e+00	12558
19	1.000000000000000e+00	12558
20	1.000000000000000e+00	12558
21	1.000000000000000e+00	12558
22	1.000000000000000e+00	12558
23	1.000000000000000e+00	12558
24	1.000000000000000e+00	12558
25	1.000000000000000e+00	12558
26	1.000000000000000e+00	12558
27	1.000000000000000e+00	12558
28	1.000000000000000e+00	12558
29	1.000000000000000e+00	12558
30	1.000000000000000e+00	12558
31	1.000000000000000e+00	12558
32	1.000000000000000e+00	12558
33	1.000000000000000e+00	12558
34	1.000000000000000e+00	12558
35	1.000000000000000e+00	12558
36	1.000000000000000e+00	12558
37	1.000000000000000e+00	12558
38	1.000000000000000e+00	12558
39	1.000000000000000e+00	12558
40	1.000000000000000e+00	12558
41	1.000000000000000e+00	12558
42	1.000000000000000e+00	12558
43	1.000000000000000e+00	12558
44	1.000000000000000e+00	12558
45	1.000000000000000e+00	12558
46	1.000000000000000e+00	12558
47	1.000000000000000e+00	12558
48	1.000000000000000e+00	12558
49	1.000000000000000e+00	12558
50	1.000000000000000e+00	12558
51	1.000000000000000e+00	12558
52	1.000000000000000e+00	12558
53	1.000000000000000e+00	12558
54	1.000000000000000e+00	12558
55	1.000000000000000e+00	12558
56	1.000000000000000e+00	12558
57	1.000000000000000e+00	12558
58	1.000000000000000e+00	12558
59	1.000000000000000e+00	12558
60	1.000000000000000e+00	12558
61	1.000000000000000e+00	12558
62	1.000000000000000e+00	12558
63	1.000000000000000e+00	12558
64	1.000000000000000e+00	12558
65	1.000000000000000e+00	12558
66	1.000000000000000e+00	12558
67	1.000000000000000e+00	12558
68	1.000000000000000e+00	12558
69	1.000000000000000e+00	12558
70	1.000000000000000e+00	12558
71	1.000000000000000e+00	12558
72	1.000000000000000e+00	12558
73	1.000000000000000e+00	12558
74	1.000000000000000e+00	12558
75	1.000000000000000e+00	12558
76	1.000000000000000e+00	12558
77	1.000000000000000e+00	12558
